timestamp,open,high,low,close,volume
2021-05-07 19:55:00,145.5000,145.5000,145.5000,145.5000,100
2021-05-07 19:50:00,145.5000,145.5000,145.5000,145.5000,302
2021-05-07 17:20:00,145.5100,145.5100,145.5100,145.5100,202
2021-05-07 17:10:00,145.5100,145.5100,145.5100,145.5100,104
2021-05-07 17:00:00,145.5200,145.5200,145.5200,145.5200,370
2021-05-07 16:40:00,145.5400,145.5400,145.4600,145.5300,8922
2021-05-07 16:35:00,145.5200,145.5200,145.4100,145.4100,501
2021-05-07 16:30:00,145.5400,145.5400,145.5400,145.5400,100
2021-05-07 16:25:00,145.4000,145.4000,145.4000,145.4000,456
2021-05-07 16:10:00,145.4800,145.5400,145.4600,145.5400,4115
2021-05-07 16:05:00,145.4600,145.5200,145.4600,145.5200,60960
2021-05-07 16:00:00,145.5700,145.6100,145.2200,145.3800,468839
2021-05-07 15:55:00,145.5200,145.6800,145.4800,145.5700,211810
2021-05-07 15:50:00,145.7000,145.7450,145.4600,145.5100,144281
2021-05-07 15:45:00,145.8050,145.8800,145.6900,145.7000,123347
2021-05-07 15:40:00,145.6700,145.8300,145.6400,145.8000,99004
2021-05-07 15:35:00,145.5900,145.6900,145.5301,145.6728,103715
2021-05-07 15:30:00,145.6030,145.6400,145.5550,145.5900,58644
2021-05-07 15:25:00,145.6400,145.7000,145.6000,145.6065,50615
2021-05-07 15:20:00,145.6400,145.7199,145.6150,145.6324,38343
2021-05-07 15:15:00,145.6700,145.6700,145.6100,145.6350,32773
2021-05-07 15:10:00,145.6100,145.7400,145.6100,145.6900,45612
2021-05-07 15:05:00,145.6200,145.6500,145.5700,145.6061,38696
2021-05-07 15:00:00,145.5900,145.7000,145.5900,145.6250,41556
2021-05-07 14:55:00,145.4700,145.6200,145.4300,145.6000,49972
2021-05-07 14:50:00,145.4900,145.5500,145.4600,145.4800,71905
2021-05-07 14:45:00,145.5200,145.5200,145.4100,145.4800,42348
2021-05-07 14:40:00,145.5800,145.6200,145.4800,145.5200,40030
2021-05-07 14:35:00,145.6762,145.6889,145.5750,145.6000,51314
2021-05-07 14:30:00,145.5700,145.6900,145.5650,145.6700,40661
2021-05-07 14:25:00,145.6100,145.6200,145.5675,145.5800,30357
2021-05-07 14:20:00,145.5400,145.6100,145.5396,145.6100,38651
