timestamp,open,high,low,close,volume
2021-05-07,145.9200,146.1400,144.5700,145.4600,7003467
2021-05-06,145.2600,148.5150,145.1800,148.4200,7503487
2021-05-05,145.9400,145.9400,144.9700,145.2200,3622800
2021-05-04,144.4100,146.5900,144.3300,145.7500,6350479
2021-05-03,143.8100,145.7500,143.5500,144.7500,5733463
2021-04-30,143.7000,143.8300,140.5500,141.8800,8872181
2021-04-29,144.1300,148.7400,142.9800,144.2400,4353880
2021-04-28,142.9200,143.4000,142.1000,143.0000,3768129
2021-04-27,141.6900,142.5600,140.7500,142.0100,3884037
2021-04-26,142.4200,143.6300,141.4800,141.5700,4710763
2021-04-23,141.3100,143.6100,140.9500,142.4300,4556700
2021-04-22,143.7000,144.7400,141.0000,141.2800,7101368
2021-04-21,138.0600,143.7300,137.7100,143.5500,11909005
2021-04-20,137.0700,139.7700,136.7000,138.1600,15480579
2021-04-19,133.6000,133.8150,132.5800,133.1200,8198582
2021-04-16,133.0000,134.1000,132.9500,133.5900,5291756
2021-04-15,133.2800,133.8700,132.2200,132.5800,3883955
2021-04-14,131.3050,132.7800,130.5200,132.6300,5868049
2021-04-13,133.0000,133.6200,130.3800,131.1800,8033530
2021-04-12,135.0200,135.3700,133.8500,134.5900,3753959
2021-04-09,134.8700,135.7400,134.7100,135.7300,3023916
2021-04-08,134.5700,135.6299,134.1600,135.1200,4087228
2021-04-07,133.8400,134.9400,133.7800,134.9300,2976136
2021-04-06,135.5800,135.6400,134.0900,134.2200,3620964
2021-04-05,133.6400,136.6900,133.4000,135.9300,5471616
2021-04-01,133.7600,133.9300,132.2700,133.2300,4074161
2021-03-31,134.5400,134.7100,132.7100,133.2600,4945315
2021-03-30,135.8600,136.2700,134.0200,134.7200,4790366
2021-03-29,135.9800,137.0700,135.5100,135.8600,4622664
2021-03-26,133.2900,136.4800,133.1200,136.3800,5567592
2021-03-25,130.3300,133.2400,129.7700,133.0700,5553966
2021-03-24,130.9500,132.1100,130.5700,130.6200,4005027
2021-03-23,130.4400,131.5600,129.8000,130.4600,4356359
2021-03-22,128.5000,130.7200,127.8900,130.5500,4164914
2021-03-19,130.0200,130.4400,128.5300,128.9000,9844983
2021-03-18,128.9400,130.9950,127.7900,130.0600,5835669
